borough,population_total,population_no2_exposed,population_no2_rate,population_weighted_no2,population_pm25_exposed,population_pm25_rate,population_weighted_pm25,borough_key,schools_site_count,schools_no2_exposed_count,schools_pm25_exposed_count,schools_no2_exposed_rate,schools_pm25_exposed_rate,schools_mean_no2,schools_mean_pm25,health_site_count,health_no2_exposed_count,health_pm25_exposed_count,health_no2_exposed_rate,health_pm25_exposed_rate,health_mean_no2,health_mean_pm25,population_severity,school_severity,health_severity,population_exposed_count,school_exposed_count,health_exposed_count,severity_index,scale_index,baseline_score,baseline_rank,severity_focused_score,severity_focused_rank,scale_focused_score,scale_focused_rank,rank_change_range,priority_tier
Westminster,211400,211400,1.0,27.6,143800,0.6805,10.27,westminster,92,92,67,1.0,0.7282608695652174,27.910869565217393,10.329347826086956,24,24,24,1.0,1.0,29.208333333333332,12.512500000000001,0.8402499999999999,0.8641304347826086,1.0,177600.0,79.5,24.0,0.8953391304347826,0.8971428571428572,89.624099378882,1,89.58802484472051,1,89.66017391304348,1,0,Tier 1
Tower Hamlets,325800,325800,1.0,25.84,126600,0.3886,9.96,towerhamlets,115,115,53,1.0,0.4608695652173913,26.202608695652174,10.040869565217392,9,9,8,1.0,0.8888888888888888,26.922222222222224,11.455555555555556,0.6943,0.7304347826086957,0.9444444444444444,226200.0,84.0,8.5,0.780183768115942,0.8021276595744681,79.1155713845205,2,78.67669355534998,2,79.55444921369102,3,1,Tier 1
Camden,218000,218000,1.0,27.19,83600,0.3834,9.97,camden,101,101,43,1.0,0.42574257425742573,27.320792079207923,10.013861386138613,27,27,20,1.0,0.7407407407407407,29.544444444444448,12.496296296296295,0.6917,0.7128712871287128,0.8703703703703703,150800.0,72.0,23.5,0.7516524972497249,0.8161170212765957,78.38847592631603,3,77.09918544577862,3,79.67776640685344,2,1,Tier 1
Southwark,311900,311900,1.0,25.47,108700,0.3486,9.89,southwark,123,123,39,1.0,0.3170731707317073,25.365040650406506,9.876422764227643,7,7,4,1.0,0.5714285714285714,24.985714285714288,10.485714285714286,0.6743,0.6585365853658537,0.7857142857142857,210300.0,81.0,5.5,0.7029952613240418,0.7247226443768997,71.38589528504707,4,70.95134762398992,6,71.82044294610422,4,2,Tier 1
Hackney,261500,261500,1.0,24.36,95300,0.3643,9.94,hackney,104,104,21,1.0,0.20192307692307693,23.896153846153844,9.851923076923075,17,17,10,1.0,0.5882352941176471,25.08823529411765,10.423529411764704,0.68215,0.6009615384615384,0.7941176470588236,178400.0,62.5,13.5,0.6913837556561087,0.7038145896656536,69.75991726608811,5,69.5113005858972,7,70.008533946279,5,2,Tier 1
Wandsworth,329000,329000,1.0,23.1,29900,0.0907,9.56,wandsworth,114,114,5,1.0,0.043859649122807015,22.894736842105264,9.53157894736842,22,22,12,1.0,0.5454545454545454,22.822727272727274,10.177272727272728,0.54535,0.5219298245614035,0.7727272727272727,179450.0,59.5,17.0,0.6065371291866029,0.7396561550151977,67.30966421009002,6,64.64728369351813,9,69.97204472666192,6,3,Tier 1
Lambeth,316800,316800,1.0,24.58,76600,0.2419,9.82,lambeth,103,103,19,1.0,0.18446601941747573,24.633009708737863,9.809708737864078,22,22,5,1.0,0.22727272727272727,23.59090909090909,9.945454545454545,0.62095,0.5922330097087378,0.6136363636363636,196700.0,61.0,13.5,0.6101408120035304,0.7311360182370821,67.06384151203062,7,64.6439373873596,10,69.48374563670166,7,3,Tier 1
Kensington & Chelsea,146200,146200,1.0,26.66,84200,0.5761999999999999,10.15,kensingtonandchelsea,75,75,42,1.0,0.56,26.56,10.106666666666667,10,10,8,1.0,0.8,26.810000000000002,11.41,0.7881,0.78,0.9,115200.0,58.5,9.0,0.81924,0.519224924012158,66.9232462006079,8,72.92354772036474,5,60.92294468085107,12,7,Tier 1
Islington,220400,220400,1.0,26.02,112700,0.5114,10.06,islington,72,72,37,1.0,0.5138888888888888,26.174999999999997,10.095833333333333,10,10,4,1.0,0.4,24.380000000000003,10.07,0.7557,0.7569444444444444,0.7,166550.0,54.5,7.0,0.7393633333333334,0.5711037234042553,65.52335283687944,9,68.88854503546101,8,62.158160638297865,10,2,Tier 1
Ealing,369900,358100,0.9681000000000001,22.14,11400,0.0308,9.15,ealing,115,112,2,0.9739130434782609,0.017391304347826087,22.028695652173916,9.110434782608696,27,27,5,1.0,0.18518518518518517,22.288888888888888,9.496296296296295,0.49945000000000006,0.4956521739130435,0.5925925925925926,184750.0,57.0,16.0,0.5262534299516908,0.7274259118541034,62.68396709028971,10,58.66051745224146,12,66.70741672833796,8,4,Tier 2
